Trous,80%,20%,Delta
2,1.95,0.68,1.27
4,2,0.97,1.03
6,2,1.17,0.83
8,1.56,1.02,0.54
10,1.53,1.2,0.33
11,1.42,1.21,0.21
12,1.38,1.3,0.0799999999999999
13,1.05,1,0.05
14,3.76,3.6,0.16
15,3.57,3.26,0.31
16,3.11,2.72,0.39
18,4.41,3.83,0.58
20,1.97,1.15,0.82
