Trous,80%,20%,Delta
0,"4,93","3,5","1,43"
2,"4,62","3,34","1,28"
4,"4,48","3,39","1,09"
6,"4,36","3,37","0,99"
8,"4,29","3,5","0,79"
10,"4,23","3,45","0,78"
12,"3,98","3,33","0,65"
13,"3,8","3,31","0,49"
14,"3,74","3,34","0,4"
15,"3,52","3,26","0,26"
16,"3,46","3,3","0,16"
17,"3,33","3,22","0,11"
18,"3,15","3,09","0,06"
19,"3,15","3,06","0,09"
20,"2,71","2,49","0,22"
22,"2,51","2,27","0,24"
24,"2,8","2,34","0,46"
