Trous,80%,20%,Delta
2,2.73,1.61,1.12
3,2.96,1.55,0.91
4,3.51,2.63,0.88
5,3.95,2.72,0.73
6,3.34,2.72,0.62
7,3.35,2.83,0.52
8,3.23,2.8,0.43
9,3.22,2.86,0.36
10,3.07,2.83,0.24
11,3.1,2.95,0.15
12,3.02,2.95,0.07
13,2.93,2.84,0.09
14,3.03,2.81,0.22
15,3.16,2.81,0.35
16,3.13,2.68,0.45
17,3.46,2.88,0.58
18,3.0,2.3,0.7
33,4.28,2.08,2.2
34,6.67,4.21,2.46
35,6.5,3.9,2.6
