Trous,80%,20%,Delta
8,4.37,3.68,0.69
10,4.31,3.69,0.62
12,4.1,3.63,0.47
14,3.98,3.73,0.25
15,3.92,3.69,0.23
16,4.01,3.84,0.17
17,3.71,3.62,0.09
18,3.64,3.55,0.09
19,3.71,3.6,0.11
20,3.65,3.48,0.17
22,3.76,3.45,0.31
24,3.7,3.21,0.49
